,wall_time,step,value
468,1645141716.6042428,337680,-1211.056640625
469,1645141835.676036,338400,-849.947509765625
470,1645141957.1795366,339120,-900.3189086914062
471,1645142076.6628928,339840,-788.2230834960938
472,1645142195.6559882,340560,-896.2783203125
473,1645142319.3940642,341280,-937.9341430664062
474,1645142442.1965504,342000,-1052.82470703125
475,1645142563.5094604,342720,-629.1327514648438
476,1645142682.7423918,343440,-658.6488647460938
477,1645142803.5466628,344160,-853.3816528320312
478,1645142932.1692502,344880,-1282.9930419921875
479,1645143054.0685353,345600,-653.7591552734375
480,1645143178.7987554,346320,-1308.2003173828125
481,1645143304.8507576,347040,-972.4852905273438
482,1645143420.91287,347760,-744.998046875
483,1645143545.0925543,348480,-1049.2449951171875
484,1645143668.2968695,349200,-1146.236328125
485,1645143798.630743,349920,-1206.7569580078125
486,1645143925.0771902,350640,-1115.5272216796875
487,1645144049.172847,351360,-941.63525390625
488,1645144168.2083707,352080,-769.0958251953125
489,1645144290.6362143,352800,-1041.9769287109375
490,1645144412.9934864,353520,-939.3961181640625
491,1645144531.3860693,354240,-749.0294189453125
492,1645144655.5076857,354960,-1287.1163330078125
493,1645144780.4804456,355680,-1151.957763671875
494,1645144901.516538,356400,-870.23193359375
495,1645145032.1482813,357120,-959.0811157226562
496,1645145152.224413,357840,-848.094970703125
497,1645145269.010507,358560,-709.6941528320312
498,1645145383.904034,359280,-648.6980590820312
499,1645145502.2364585,360000,-564.6402587890625
500,1645145621.3579388,360720,-589.6155395507812
501,1645145742.249586,361440,-748.7897338867188
502,1645145860.165678,362160,-718.4727783203125
503,1645145981.2007077,362880,-847.3697509765625
504,1645146100.0792453,363600,-871.2330322265625
505,1645146223.861984,364320,-902.2247314453125
506,1645146343.5720026,365040,-624.9683227539062
507,1645146460.6461866,365760,-654.1072387695312
508,1645146579.0066192,366480,-662.12109375
509,1645146701.7728486,367200,-1197.56884765625
510,1645146828.4287584,367920,-1331.9891357421875
511,1645146943.134511,368640,-538.4525146484375
512,1645147066.844891,369360,-741.5739135742188
513,1645147188.8152442,370080,-858.3391723632812
514,1645147304.4348602,370800,-541.683349609375
515,1645147427.5394983,371520,-783.1219482421875
516,1645147545.101001,372240,-549.5005493164062
517,1645147666.1901088,372960,-781.0452880859375
518,1645147787.3384428,373680,-663.2686157226562
519,1645147902.8354511,374400,-514.673583984375
520,1645148019.4319825,375120,-476.8580627441406
521,1645148134.2756796,375840,-524.1221923828125
522,1645148247.3845382,376560,-464.3530578613281
523,1645148367.7196126,377280,-742.715576171875
524,1645148483.061786,378000,-478.01861572265625
525,1645148600.611232,378720,-511.9091796875
526,1645148713.6581783,379440,-485.427490234375
527,1645148833.7282727,380160,-605.8252563476562
528,1645148953.690066,380880,-693.2172241210938
529,1645149069.2053747,381600,-657.8383178710938
530,1645149188.528075,382320,-587.6966552734375
531,1645149306.5454357,383040,-638.157470703125
532,1645149426.7718003,383760,-536.3072509765625
533,1645149548.57105,384480,-974.2786254882812
534,1645149668.7390928,385200,-541.223876953125
535,1645149787.6593728,385920,-596.1425170898438
536,1645149905.081911,386640,-566.8977661132812
537,1645150025.473959,387360,-706.2605590820312
538,1645150144.1962252,388080,-694.33056640625
539,1645150263.97628,388800,-696.9869384765625
540,1645150384.8458462,389520,-755.58056640625
541,1645150503.6784735,390240,-603.9511108398438
542,1645150626.4734704,390960,-940.4852905273438
543,1645150753.3139753,391680,-944.209716796875
544,1645150880.9280727,392400,-1013.629150390625
545,1645151007.1977794,393120,-1158.48974609375
546,1645151129.8352814,393840,-814.794189453125
547,1645151253.8516283,394560,-956.8099975585938
548,1645151373.177829,395280,-981.6705322265625
549,1645151490.1982996,396000,-699.3155517578125
550,1645151612.1165087,396720,-847.522216796875
551,1645151731.9007697,397440,-857.3411254882812
552,1645151855.1048753,398160,-1124.5716552734375
553,1645151974.909149,398880,-729.8200073242188
554,1645152091.8212216,399600,-631.4280395507812
555,1645152211.4728222,400320,-676.0861206054688
556,1645152331.46765,401040,-750.173583984375
557,1645152453.8605597,401760,-903.1864013671875
558,1645152584.319061,402480,-1051.080810546875
559,1645152704.7442799,403200,-932.51416015625
560,1645152830.2392156,403920,-1250.2802734375
561,1645152949.3888328,404640,-982.5916748046875
562,1645153077.1461096,405360,-1177.2138671875
563,1645153205.2829666,406080,-1364.3619384765625
564,1645153328.9719856,406800,-1006.7333374023438
565,1645153451.4698641,407520,-717.7694702148438
566,1645153570.6510277,408240,-711.4874877929688
567,1645153689.1686318,408960,-706.5697021484375
568,1645153806.7653787,409680,-659.43359375
569,1645153926.2675238,410400,-668.7363891601562
570,1645154046.8640018,411120,-855.8208618164062
571,1645154162.9573584,411840,-685.8764038085938
572,1645154279.3576808,412560,-568.0936279296875
573,1645154394.0422986,413280,-587.5497436523438
574,1645154508.1529212,414000,-569.5855712890625
575,1645154622.1228108,414720,-565.0739135742188
576,1645154736.442718,415440,-627.5144653320312
577,1645154853.329724,416160,-695.381103515625
578,1645154970.17768,416880,-715.2797241210938
579,1645155087.6031337,417600,-703.6400146484375
580,1645155203.1410792,418320,-581.9322509765625
581,1645155320.936478,419040,-518.9849853515625
582,1645155437.0097039,419760,-509.602783203125
583,1645155552.9173226,420480,-567.4344482421875
584,1645155672.3376577,421200,-876.3986206054688
585,1645155786.2205653,421920,-545.8255615234375
586,1645155901.4232483,422640,-491.07720947265625
587,1645156015.3254936,423360,-500.93695068359375
588,1645156133.950718,424080,-599.9022216796875
589,1645156252.27092,424800,-715.1525268554688
590,1645156370.497397,425520,-631.8291625976562
591,1645156490.3186977,426240,-626.35302734375
592,1645156608.4537272,426960,-597.292236328125
593,1645156726.216418,427680,-723.2494506835938
594,1645156848.307373,428400,-557.8680419921875
595,1645156971.0600648,429120,-660.0716552734375
596,1645157089.0953465,429840,-542.6425170898438
597,1645157211.561212,430560,-611.590576171875
598,1645157334.376387,431280,-656.2266845703125
599,1645157460.590885,432000,-825.3744506835938
600,1645157582.5802777,432720,-1051.197998046875
601,1645157706.037737,433440,-758.37109375
602,1645157827.8553712,434160,-690.9841918945312
603,1645157950.0954454,434880,-836.3400268554688
604,1645158076.5941093,435600,-942.7261352539062
605,1645158200.2714868,436320,-799.7544555664062
606,1645158323.2951722,437040,-818.679443359375
607,1645158446.498155,437760,-834.7897338867188
608,1645158568.2284791,438480,-847.2019653320312
609,1645158689.9167566,439200,-1154.7791748046875
610,1645158807.640935,439920,-628.87109375
611,1645158932.9071019,440640,-1260.8316650390625
612,1645159053.4130661,441360,-816.8074951171875
613,1645159176.2171614,442080,-830.7311401367188
614,1645159303.128818,442800,-1035.5899658203125
615,1645159431.869704,443520,-1197.8172607421875
616,1645159551.2504437,444240,-624.9447021484375
617,1645159674.21691,444960,-1005.5858154296875
618,1645159797.3071334,445680,-681.6361083984375
619,1645159919.9762974,446400,-883.5
620,1645160047.3178983,447120,-1181.0733642578125
621,1645160178.5112834,447840,-1526.5833740234375
622,1645160302.8235667,448560,-972.532470703125
623,1645160428.2550027,449280,-879.7158203125
624,1645160553.7078142,450000,-1068.87109375
625,1645160677.702512,450720,-1198.5577392578125
626,1645160803.3218758,451440,-1070.94921875
627,1645160927.701662,452160,-965.4525146484375
628,1645161054.9899552,452880,-1263.016357421875
629,1645161184.5983958,453600,-1648.57080078125
630,1645161309.913457,454320,-1381.39892578125
631,1645161428.9298112,455040,-986.9633178710938
632,1645161552.7849863,455760,-1128.256103515625
633,1645161679.9325578,456480,-1020.5108032226562
634,1645161804.6549432,457200,-1286.1158447265625
635,1645161930.1340873,457920,-1371.64697265625
636,1645162055.6906533,458640,-979.4891967773438
637,1645162180.1014278,459360,-1172.1300048828125
638,1645162306.0381129,460080,-1194.66357421875
639,1645162425.9521208,460800,-774.8766479492188
640,1645162548.3063056,461520,-1217.0888671875
641,1645162669.8999634,462240,-837.5136108398438
642,1645162794.0431213,462960,-1251.8516845703125
643,1645162915.3987694,463680,-1134.0994873046875
644,1645163038.9769526,464400,-1110.57421875
645,1645163163.753133,465120,-1007.6697387695312
646,1645163288.3064141,465840,-1090.1800537109375
647,1645163411.617367,466560,-840.244140625
648,1645163538.5114708,467280,-1420.1541748046875
649,1645163661.6648092,468000,-1140.7900390625
650,1645163785.6064513,468720,-939.48974609375
651,1645163903.7007658,469440,-749.7552490234375
652,1645164024.969678,470160,-864.945556640625
653,1645164147.42223,470880,-773.7647094726562
654,1645164269.122778,471600,-1203.0111083984375
655,1645164392.5615964,472320,-940.3255615234375
656,1645164516.8146765,473040,-815.4319458007812
657,1645164646.7400386,473760,-1422.088623046875
658,1645164772.0792894,474480,-1124.2166748046875
659,1645164893.5069592,475200,-1074.4971923828125
660,1645165020.8938468,475920,-1227.2197265625
661,1645165146.1815696,476640,-1128.44775390625
662,1645165273.9516554,477360,-989.9288940429688
663,1645165399.8377893,478080,-1184.114501953125
664,1645165522.3404253,478800,-696.5671997070312
665,1645165650.381984,479520,-1352.4207763671875
666,1645165779.386474,480240,-982.0913696289062
667,1645165907.382091,480960,-1187.8756103515625
668,1645166031.352295,481680,-988.7211303710938
669,1645166153.5230675,482400,-615.3716430664062
670,1645166278.8852222,483120,-796.8033447265625
671,1645166403.7384763,483840,-925.5900268554688
672,1645166531.650927,484560,-1094.1036376953125
673,1645166657.400057,485280,-787.9822387695312
674,1645166781.0955098,486000,-800.6339111328125
675,1645166906.246664,486720,-1027.9891357421875
676,1645167030.3047483,487440,-709.0258178710938
677,1645167153.3723958,488160,-782.6216430664062
678,1645167278.0273104,488880,-695.056396484375
679,1645167403.766975,489600,-630.3319702148438
680,1645167530.3989017,490320,-935.9994506835938
681,1645167660.8015115,491040,-947.9686279296875
682,1645167793.5955353,491760,-1003.506103515625
683,1645167928.0824482,492480,-1441.778564453125
684,1645168053.7737648,493200,-749.54833984375
685,1645168179.676896,493920,-776.2694702148438
686,1645168307.7625177,494640,-670.1760864257812
687,1645168434.6707075,495360,-696.7194213867188
688,1645168561.9102135,496080,-1007.713623046875
689,1645168688.9781559,496800,-912.80224609375
690,1645168814.4200277,497520,-864.0894165039062
691,1645168937.861536,498240,-806.9349975585938
692,1645169060.4402165,498960,-699.7072143554688
693,1645169189.8166242,499680,-862.981689453125
694,1645169316.5201595,500400,-934.7138671875
695,1645169441.1523352,501120,-741.4608154296875
696,1645169564.2129526,501840,-629.0750122070312
697,1645169686.9862902,502560,-573.7658081054688
698,1645169808.1374106,503280,-591.9047241210938
699,1645169932.7075238,504000,-860.4366455078125
700,1645170058.6625326,504720,-908.2072143554688
701,1645170183.8795524,505440,-957.0966796875
702,1645170306.6197822,506160,-752.638916015625
703,1645170429.6139536,506880,-611.24609375
704,1645170554.042581,507600,-1067.9322509765625
705,1645170680.3085763,508320,-1247.6646728515625
706,1645170806.0913265,509040,-995.70166015625
707,1645170940.4069152,509760,-1410.10498046875
708,1645171068.6541421,510480,-1074.36279296875
709,1645171197.336554,511200,-1071.1241455078125
710,1645171327.6458526,511920,-1272.51171875
711,1645171457.5461748,512640,-1544.984130859375
712,1645171588.093107,513360,-1435.903564453125
713,1645171719.371289,514080,-1038.0469970703125
714,1645171846.7754006,514800,-1133.284423828125
715,1645171981.1331222,515520,-1568.98583984375
716,1645172115.161603,516240,-1337.73779296875
717,1645172250.208583,516960,-1277.310546875
718,1645172382.4611208,517680,-1395.244140625
719,1645172518.7512069,518400,-1937.677490234375
720,1645172650.9502206,519120,-1645.22998046875
721,1645172781.917495,519840,-1096.387451171875
722,1645172916.340274,520560,-1769.17919921875
723,1645173048.5078008,521280,-1755.5174560546875
724,1645173176.8496313,522000,-1352.4814453125
725,1645173312.0035057,522720,-1527.33251953125
726,1645173449.1090896,523440,-1505.115234375
727,1645173578.498147,524160,-1167.5777587890625
728,1645173708.3131714,524880,-1048.3594970703125
729,1645173839.660491,525600,-1574.2669677734375
730,1645173967.666884,526320,-1264.636962890625
731,1645174100.6571476,527040,-1631.3255615234375
732,1645174239.2844272,527760,-1549.4296875
733,1645174366.7714899,528480,-1329.8675537109375
734,1645174503.9171383,529200,-1614.839111328125
735,1645174636.1790183,529920,-1548.203369140625
736,1645174772.5475228,530640,-1736.516357421875
737,1645174909.512137,531360,-1588.17333984375
738,1645175040.562964,532080,-1701.669189453125
739,1645175179.9094853,532800,-1859.32275390625
740,1645175315.0418754,533520,-1438.6397705078125
741,1645175452.3749492,534240,-2022.9052734375
742,1645175585.2132213,534960,-1709.1461181640625
743,1645175723.4223561,535680,-2157.2734375
744,1645175858.5826583,536400,-1494.2972412109375
745,1645175991.868672,537120,-1819.06494140625
746,1645176128.4086998,537840,-1980.417236328125
747,1645176268.1358604,538560,-2199.219482421875
748,1645176405.121539,539280,-2182.6953125
749,1645176543.841943,540000,-1881.667724609375
750,1645176681.9451206,540720,-2503.7294921875
751,1645176822.4324274,541440,-2177.763671875
752,1645176960.8171206,542160,-2013.6082763671875
753,1645177098.5155048,542880,-1908.2589111328125
754,1645177228.6431327,543600,-1884.48974609375
755,1645177362.2102273,544320,-1866.9832763671875
756,1645177494.7242155,545040,-1704.8505859375
757,1645177629.8070924,545760,-1880.564697265625
758,1645177759.668625,546480,-1449.778076171875
759,1645177894.555696,547200,-1737.9708251953125
760,1645178029.0899181,547920,-1718.7410888671875
761,1645178160.2347188,548640,-1522.2652587890625
762,1645178294.422493,549360,-1626.7283935546875
763,1645178428.557174,550080,-1598.626953125
764,1645178562.6668148,550800,-1832.82275390625
765,1645178699.9872622,551520,-1677.1358642578125
766,1645178835.2767878,552240,-1889.997802734375
767,1645178970.9721162,552960,-1598.0316162109375
768,1645179108.6540723,553680,-1740.8116455078125
769,1645179242.282134,554400,-1874.21533203125
770,1645179378.8433528,555120,-1788.36279296875
771,1645179513.2399452,555840,-2037.766357421875
772,1645179648.243311,556560,-1346.024169921875
773,1645179778.73227,557280,-1799.947998046875
774,1645179912.769676,558000,-1378.4610595703125
775,1645180044.6196227,558720,-1480.9871826171875
776,1645180177.5455976,559440,-1733.6002197265625
777,1645180311.9134934,560160,-1685.1650390625
778,1645180446.9859788,560880,-1813.0147705078125
779,1645180581.5744793,561600,-1542.9871826171875
780,1645180712.3336806,562320,-1475.443115234375
781,1645180843.750501,563040,-1532.558349609375
782,1645180978.604564,563760,-1757.568115234375
783,1645181114.354689,564480,-1584.5205078125
784,1645181248.6255424,565200,-1907.83642578125
785,1645181383.1028547,565920,-1515.17724609375
786,1645181518.8333776,566640,-1905.5546875
787,1645181656.298151,567360,-2061.28076171875
788,1645181785.0043626,568080,-1571.0897216796875
789,1645181918.0983992,568800,-1493.62060546875
790,1645182052.3924477,569520,-1552.1336669921875
791,1645182185.587787,570240,-1688.369140625
792,1645182321.64354,570960,-1683.6658935546875
793,1645182457.3298783,571680,-1843.0872802734375
794,1645182596.4699652,572400,-2340.236572265625
795,1645182735.8327453,573120,-2275.912841796875
796,1645182868.7704499,573840,-2202.3251953125
797,1645183004.3293946,574560,-2067.58251953125
798,1645183138.32509,575280,-1908.5550537109375
799,1645183270.279458,576000,-1759.0792236328125
800,1645183404.2954402,576720,-2135.9521484375
801,1645183536.9770179,577440,-1651.2552490234375
802,1645183668.3743017,578160,-1838.4705810546875
803,1645183797.70557,578880,-1461.8157958984375
804,1645183929.2185054,579600,-1724.6539306640625
805,1645184062.0107236,580320,-1820.2783203125
806,1645184198.2002726,581040,-1907.5130615234375
807,1645184332.8622737,581760,-1584.47802734375
808,1645184466.4314058,582480,-1657.7530517578125
809,1645184594.1909099,583200,-1332.3394775390625
810,1645184727.032371,583920,-1804.2386474609375
811,1645184856.3130116,584640,-1304.2183837890625
812,1645184988.5930116,585360,-1747.56689453125
813,1645185120.8042235,586080,-1711.515869140625
814,1645185257.3404608,586800,-1894.046142578125
815,1645185388.1777282,587520,-1655.2327880859375
816,1645185523.478888,588240,-1471.8555908203125
817,1645185653.6235673,588960,-1584.34716796875
818,1645185787.020907,589680,-2013.344970703125
819,1645185923.4122794,590400,-1818.8541259765625
820,1645186051.6356142,591120,-1620.913330078125
821,1645186185.8550944,591840,-2200.070068359375
822,1645186317.042315,592560,-1534.451416015625
823,1645186450.3744526,593280,-1779.7830810546875
824,1645186583.7198381,594000,-1857.489990234375
825,1645186716.0033603,594720,-1838.8819580078125
826,1645186846.5271027,595440,-1472.570556640625
827,1645186980.9004462,596160,-1744.6572265625
828,1645187118.1543064,596880,-2027.8963623046875
829,1645187251.185518,597600,-1698.0694580078125
830,1645187383.40795,598320,-1829.106689453125
831,1645187523.4135635,599040,-2108.3046875
832,1645187656.1357484,599760,-2029.7508544921875
833,1645187791.086999,600480,-2143.107177734375
834,1645187924.6994274,601200,-1759.816650390625
835,1645188059.465372,601920,-1905.2574462890625
836,1645188194.326362,602640,-1900.15087890625
837,1645188331.5354433,603360,-1920.6522216796875
838,1645188466.659997,604080,-1761.86474609375
839,1645188600.8408937,604800,-1815.8843994140625
840,1645188735.3805454,605520,-1770.193603515625
841,1645188868.367823,606240,-1546.546142578125
842,1645189003.908739,606960,-1797.9547119140625
843,1645189141.6507351,607680,-2126.57275390625
844,1645189274.1628664,608400,-1633.0513916015625
845,1645189404.9600043,609120,-1629.5999755859375
846,1645189539.0066218,609840,-1863.0433349609375
847,1645189675.0047877,610560,-1724.8717041015625
848,1645189812.4116406,611280,-1729.050537109375
849,1645189946.2257807,612000,-2017.2147216796875
850,1645190079.0973234,612720,-1819.957763671875
851,1645190215.4992652,613440,-1627.104736328125
852,1645190344.5618896,614160,-1242.6156005859375
853,1645190480.9854064,614880,-1947.6328125
854,1645190614.273923,615600,-1422.2796630859375
855,1645190741.845099,616320,-1488.0550537109375
856,1645190873.734172,617040,-1267.9866943359375
857,1645191004.949321,617760,-1486.1324462890625
858,1645191140.2600338,618480,-1618.76416015625
859,1645191272.9082754,619200,-1402.7449951171875
860,1645191404.319485,619920,-1612.1036376953125
861,1645191537.5031238,620640,-1667.5511474609375
862,1645191672.332053,621360,-1869.0330810546875
863,1645191804.4251459,622080,-1586.55224609375
864,1645191936.663764,622800,-1415.3050537109375
865,1645192069.2450254,623520,-1626.0250244140625
866,1645192195.2720487,624240,-1307.81689453125
867,1645192324.4945347,624960,-1319.5875244140625
868,1645192454.6136098,625680,-1530.328369140625
869,1645192588.6929357,626400,-1624.7808837890625
870,1645192716.2199755,627120,-1858.4158935546875
871,1645192846.1099892,627840,-1705.7528076171875
872,1645192978.2317545,628560,-1955.8966064453125
873,1645193106.5619404,629280,-1390.6905517578125
874,1645193234.6344597,630000,-1396.9688720703125
875,1645193365.9987433,630720,-1691.3497314453125
876,1645193492.1412754,631440,-1717.3292236328125
877,1645193617.8323302,632160,-1363.9111328125
878,1645193750.2830496,632880,-2040.0069580078125
879,1645193878.0417123,633600,-1503.8841552734375
880,1645194004.9309125,634320,-1700.7086181640625
881,1645194137.4393015,635040,-1843.2835693359375
882,1645194266.8125815,635760,-1577.2352294921875
883,1645194387.9368243,636480,-1190.911376953125
884,1645194512.432335,637200,-1327.6868896484375
885,1645194636.6433744,637920,-1473.830322265625
886,1645194761.626788,638640,-1215.221923828125
887,1645194886.2773645,639360,-1313.0263671875
888,1645195014.84433,640080,-1918.62255859375
889,1645195142.4851236,640800,-1521.6661376953125
890,1645195267.6899714,641520,-1208.0213623046875
891,1645195393.7205162,642240,-1506.296142578125
892,1645195525.326461,642960,-1673.064208984375
893,1645195656.113232,643680,-1646.0374755859375
894,1645195781.54714,644400,-1114.6783447265625
895,1645195910.3267903,645120,-1699.9566650390625
896,1645196033.0557842,645840,-959.8269653320312
897,1645196160.3740857,646560,-1553.362548828125
898,1645196288.1947803,647280,-1266.080810546875
899,1645196410.1273935,648000,-1188.9453125
900,1645196543.6829941,648720,-1650.2080078125
901,1645196673.2952478,649440,-1777.5516357421875
902,1645196808.374257,650160,-1821.6263427734375
903,1645196936.440353,650880,-1863.5552978515625
904,1645197066.7836108,651600,-1532.122802734375
905,1645197198.048401,652320,-1643.5758056640625
906,1645197332.988775,653040,-2103.0224609375
907,1645197459.399047,653760,-1543.6138916015625
908,1645197588.9728584,654480,-1732.4625244140625
909,1645197719.2813778,655200,-1685.9683837890625
910,1645197847.8487794,655920,-1524.9244384765625
911,1645197979.6338837,656640,-1677.066650390625
912,1645198113.0995965,657360,-1716.3736572265625
913,1645198240.7779438,658080,-1433.7808837890625
914,1645198369.764809,658800,-1598.348876953125
915,1645198498.8228846,659520,-1684.2467041015625
916,1645198626.8862865,660240,-1518.427490234375
917,1645198760.0959566,660960,-1511.5032958984375
918,1645198883.4747498,661680,-1341.9024658203125
919,1645199013.7260733,662400,-1275.37060546875
920,1645199141.8968463,663120,-1408.7652587890625
921,1645199273.657084,663840,-1757.48583984375
922,1645199404.5865111,664560,-2092.330810546875
923,1645199536.770033,665280,-1809.3699951171875
924,1645199665.5473216,666000,-1979.4146728515625
925,1645199791.3670878,666720,-1416.160888671875
926,1645199920.904272,667440,-1660.92919921875
927,1645200055.757896,668160,-2171.666748046875
928,1645200185.480653,668880,-1615.6102294921875
929,1645200313.3132396,669600,-1681.642822265625
930,1645200440.906994,670320,-1445.9046630859375
931,1645200569.767662,671040,-1478.1455078125
